#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
A0A7U2MMF3           -            428 O07737               -            384   1.8e-52  168.7   0.0   1   1     1e-52   2.2e-52  168.4   0.0     1   331    79   418    79   426 0.91 Zinc-type alcohol dehydrogenase B | OS=Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167) | EC=1.1.1.1
O00097               -            348 O19053               -            374   8.7e-28   87.6   7.9   1   1   1.8e-25     4e-25   78.8   7.9     9   368     8   339     2   345 0.75 Alcohol dehydrogenase 1 | OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) | EC=1.1.1.1
F2Z678               -            351 O19053               -            374   5.6e-24   75.0   6.2   1   1   1.3e-21   2.9e-21   66.1   6.2     9   366    10   340     2   346 0.74 Alcohol dehydrogenase 2 | OS=Yarrowia lipolytica (strain CLIB 122 / E 150) | EC=1.1.1.1
A0A7U2MMF3           -            428 O19053               -            374   1.3e-22   70.6   0.8   1   1     1e-20   2.3e-20   63.2   0.8    14   295    84   351    75   373 0.79 Zinc-type alcohol dehydrogenase B | OS=Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167) | EC=1.1.1.1
E1ACQ9               -            339 O19053               -            374   3.6e-21   65.8   2.5   1   1   5.2e-19   1.1e-18   57.6   2.5     9   245     8   221     4   337 0.84 Alcohol dehydrogenase notN | OS=Aspergillus sp. (strain MF297-2) | EC=1.1.1.1
O00097               -            348 O31186               -            340   2.1e-91  297.0   2.7   1   1   1.1e-91   2.5e-91  296.7   2.7     2   338     6   346     5   348 0.96 Alcohol dehydrogenase 1 | OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) | EC=1.1.1.1
F2Z678               -            351 O31186               -            340     6e-87  282.3   1.0   1   1     3e-87   6.7e-87  282.2   1.0     6   338    13   349     8   351 0.97 Alcohol dehydrogenase 2 | OS=Yarrowia lipolytica (strain CLIB 122 / E 150) | EC=1.1.1.1
E1ACQ9               -            339 O31186               -            340   6.5e-62  200.0   1.3   1   1   3.3e-62   7.4e-62  199.8   1.3     2   337     6   337     5   339 0.94 Alcohol dehydrogenase notN | OS=Aspergillus sp. (strain MF297-2) | EC=1.1.1.1
A1A835               -            369 O31186               -            340   5.6e-29   91.7   6.5   1   1   1.8e-27   4.1e-27   85.6   6.5     4   329     4   361     1   368 0.69 S-(hydroxymethyl)glutathione dehydrogenase | OS=Escherichia coli O1:K1 / APEC | EC=1.1.1.284;1.1.1.1;1.1.1.-
A7ZIA4               -            369 O31186               -            340     7e-29   91.4   6.4   1   1   2.3e-27   5.1e-27   85.2   6.4     4   329     4   361     1   368 0.69 S-(hydroxymethyl)glutathione dehydrogenase | OS=Escherichia coli O139:H28 (strain E24377A / ETEC) | EC=1.1.1.284;1.1.1.1;1.1.1.-
B1LIP1               -            369 O31186               -            340   4.9e-28   88.6   6.0   1   1   1.6e-26   3.6e-26   82.5   6.0     4   329     4   361     1   368 0.69 S-(hydroxymethyl)glutathione dehydrogenase | OS=Escherichia coli (strain SMS-3-5 / SECEC) | EC=1.1.1.284;1.1.1.1;1.1.1.-
A0A7U2MMF3           -            428 O31186               -            340   6.8e-24   75.0   0.2   1   1   4.9e-24   1.1e-23   74.3   0.2     9   320    84   406    77   416 0.77 Zinc-type alcohol dehydrogenase B | OS=Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167) | EC=1.1.1.1
A2XAZ3               -            381 O31186               -            340   1.1e-20   64.5   5.9   1   1     8e-19   1.8e-18   57.1   5.9     2   265    11   300    10   371 0.70 Alcohol dehydrogenase class-3 | OS=Oryza sativa subsp. indica | EC=1.1.1.1;1.1.1.-;1.1.1.284
A1L4Y2               -            394 O31186               -            340   8.5e-19   58.2   2.0   1   2   8.3e-16   1.8e-15   47.2   1.2     2   109    10   116     9   122 0.94 Alcohol dehydrogenase-like 3 | OS=Arabidopsis thaliana | EC=1.1.1.1
A1L4Y2               -            394 O31186               -            340   8.5e-19   58.2   2.0   2   2   0.00019   0.00042    9.9   0.0   120   329   158   380   143   389 0.69 Alcohol dehydrogenase-like 3 | OS=Arabidopsis thaliana | EC=1.1.1.1
O00097               -            348 O45687               -            351  4.3e-112  364.9   2.5   1   1  2.1e-112  4.8e-112  364.7   2.5     5   349     2   347     1   348 0.98 Alcohol dehydrogenase 1 | OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) | EC=1.1.1.1
F2Z678               -            351 O45687               -            351  7.8e-104  337.7   1.4   1   1  3.9e-104  8.7e-104  337.6   1.4     1   349     1   350     1   351 0.98 Alcohol dehydrogenase 2 | OS=Yarrowia lipolytica (strain CLIB 122 / E 150) | EC=1.1.1.1
E1ACQ9               -            339 O45687               -            351   1.9e-52  168.7   0.3   1   1   9.7e-53   2.2e-52  168.5   0.3     5   347     2   337     1   339 0.92 Alcohol dehydrogenase notN | OS=Aspergillus sp. (strain MF297-2) | EC=1.1.1.1
A7ZIA4               -            369 O45687               -            351   9.8e-30   94.0   1.4   1   2   4.9e-23   1.1e-22   70.8   0.1    14   119     8   110     2   126 0.89 S-(hydroxymethyl)glutathione dehydrogenase | OS=Escherichia coli O139:H28 (strain E24377A / ETEC) | EC=1.1.1.284;1.1.1.1;1.1.1.-
A7ZIA4               -            369 O45687               -            351   9.8e-30   94.0   1.4   2   2   2.6e-08   5.7e-08   22.4   0.1   127   299   139   315   131   368 0.67 S-(hydroxymethyl)glutathione dehydrogenase | OS=Escherichia coli O139:H28 (strain E24377A / ETEC) | EC=1.1.1.284;1.1.1.1;1.1.1.-
A1A835               -            369 O45687               -            351   2.6e-29   92.6   1.3   1   2   4.9e-23   1.1e-22   70.8   0.1    14   119     8   110     2   126 0.89 S-(hydroxymethyl)glutathione dehydrogenase | OS=Escherichia coli O1:K1 / APEC | EC=1.1.1.284;1.1.1.1;1.1.1.-
A1A835               -            369 O45687               -            351   2.6e-29   92.6   1.3   2   2   7.1e-08   1.6e-07   21.0   0.1   127   299   139   315   131   368 0.67 S-(hydroxymethyl)glutathione dehydrogenase | OS=Escherichia coli O1:K1 / APEC | EC=1.1.1.284;1.1.1.1;1.1.1.-
B1LIP1               -            369 O45687               -            351   8.5e-29   90.9   1.3   1   2   4.9e-23   1.1e-22   70.8   0.1    14   119     8   110     2   126 0.89 S-(hydroxymethyl)glutathione dehydrogenase | OS=Escherichia coli (strain SMS-3-5 / SECEC) | EC=1.1.1.284;1.1.1.1;1.1.1.-
B1LIP1               -            369 O45687               -            351   8.5e-29   90.9   1.3   2   2   2.4e-07   5.2e-07   19.3   0.1   127   299   139   315   131   368 0.67 S-(hydroxymethyl)glutathione dehydrogenase | OS=Escherichia coli (strain SMS-3-5 / SECEC) | EC=1.1.1.284;1.1.1.1;1.1.1.-
A1L4Y2               -            394 O45687               -            351   4.1e-28   88.7   1.4   1   2   3.2e-19   7.1e-19   58.3   0.6    20   117    21   117     6   127 0.92 Alcohol dehydrogenase-like 3 | OS=Arabidopsis thaliana | EC=1.1.1.1
A1L4Y2               -            394 O45687               -            351   4.1e-28   88.7   1.4   2   2   2.3e-10   5.2e-10   29.2   0.0   126   340   157   381   141   390 0.76 Alcohol dehydrogenase-like 3 | OS=Arabidopsis thaliana | EC=1.1.1.1
A2XAZ3               -            381 O45687               -            351   2.3e-27   86.3   4.1   1   2   5.5e-19   1.2e-18   57.5   0.5    12   119    15   119     4   127 0.89 Alcohol dehydrogenase class-3 | OS=Oryza sativa subsp. indica | EC=1.1.1.1;1.1.1.-;1.1.1.284
A2XAZ3               -            381 O45687               -            351   2.3e-27   86.3   4.1   2   2   1.2e-10   2.7e-10   30.1   0.2   127   278   149   304   141   346 0.82 Alcohol dehydrogenase class-3 | OS=Oryza sativa subsp. indica | EC=1.1.1.1;1.1.1.-;1.1.1.284
A0A7U2MMF3           -            428 O45687               -            351   2.9e-24   76.0   0.1   1   1   1.7e-24   3.8e-24   75.7   0.1    20   280    90   356    73   387 0.78 Zinc-type alcohol dehydrogenase B | OS=Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167) | EC=1.1.1.1
#
# Program:         phmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      data/raw/queries_all.fasta
# Target file:     data/raw/reference_ec_1_1_1_1.fasta
# Option settings: phmmer -o results/hmmer/phmmer_full.txt --tblout results/hmmer/phmmer_tblout.txt --domtblout results/hmmer/phmmer_domtblout.txt data/raw/queries_all.fasta data/raw/reference_ec_1_1_1_1.fasta 
# Date:            Mon Jul 20 13:57:15 2026
# [ok]
