#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
A0A7U2MMF3           -          O07737               -            1.8e-52  168.7   0.0   2.2e-52  168.4   0.0   1.0   1   0   0   1   1   1   1 Zinc-type alcohol dehydrogenase B | OS=Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167) | EC=1.1.1.1
E1ACQ9               -          O13309               -            4.4e-55  177.4   1.7   4.9e-55  177.3   1.7   1.0   1   0   0   1   1   1   1 Alcohol dehydrogenase notN | OS=Aspergillus sp. (strain MF297-2) | EC=1.1.1.1
A1A835               -          O13309               -            1.9e-29   93.1   3.1   4.7e-27   85.2   3.1   2.0   1   1   0   1   1   1   1 S-(hydroxymethyl)glutathione dehydrogenase | OS=Escherichia coli O1:K1 / APEC | EC=1.1.1.284;1.1.1.1;1.1.1.-
A7ZIA4               -          O13309               -            5.1e-29   91.7   3.1   1.3e-26   83.8   3.1   2.0   1   1   0   1   1   1   1 S-(hydroxymethyl)glutathione dehydrogenase | OS=Escherichia coli O139:H28 (strain E24377A / ETEC) | EC=1.1.1.284;1.1.1.1;1.1.1.-
B1LIP1               -          O13309               -            3.5e-28   89.0   2.6   8.5e-26   81.1   2.6   2.0   1   1   0   1   1   1   1 S-(hydroxymethyl)glutathione dehydrogenase | OS=Escherichia coli (strain SMS-3-5 / SECEC) | EC=1.1.1.284;1.1.1.1;1.1.1.-
A2XAZ3               -          O13309               -            4.2e-28   88.7   3.9   8.5e-18   54.8   0.4   2.0   2   0   0   2   2   2   2 Alcohol dehydrogenase class-3 | OS=Oryza sativa subsp. indica | EC=1.1.1.1;1.1.1.-;1.1.1.284
A1L4Y2               -          O13309               -            1.2e-26   84.0   1.3     9e-19   58.0   0.5   2.1   2   0   0   2   2   2   2 Alcohol dehydrogenase-like 3 | OS=Arabidopsis thaliana | EC=1.1.1.1
A0A7U2MMF3           -          O13309               -            1.4e-25   80.4   0.1   1.7e-25   80.1   0.1   1.0   1   0   0   1   1   1   1 Zinc-type alcohol dehydrogenase B | OS=Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167) | EC=1.1.1.1
A2XAZ3               -          O19053               -           6.5e-171  558.6   6.6  7.5e-171  558.3   6.6   1.0   1   0   0   1   1   1   1 Alcohol dehydrogenase class-3 | OS=Oryza sativa subsp. indica | EC=1.1.1.1;1.1.1.-;1.1.1.284
A1A835               -          O19053               -           9.9e-166  541.5   3.3  1.1e-165  541.3   3.3   1.0   1   0   0   1   1   1   1 S-(hydroxymethyl)glutathione dehydrogenase | OS=Escherichia coli O1:K1 / APEC | EC=1.1.1.284;1.1.1.1;1.1.1.-
A7ZIA4               -          O19053               -           1.2e-165  541.2   3.1  1.4e-165  541.0   3.1   1.0   1   0   0   1   1   1   1 S-(hydroxymethyl)glutathione dehydrogenase | OS=Escherichia coli O139:H28 (strain E24377A / ETEC) | EC=1.1.1.284;1.1.1.1;1.1.1.-
B1LIP1               -          O19053               -           8.9e-165  538.4   2.7  9.9e-165  538.2   2.7   1.0   1   0   0   1   1   1   1 S-(hydroxymethyl)glutathione dehydrogenase | OS=Escherichia coli (strain SMS-3-5 / SECEC) | EC=1.1.1.284;1.1.1.1;1.1.1.-
A1L4Y2               -          O19053               -           4.2e-114  371.6   1.8  5.1e-114  371.3   1.8   1.0   1   0   0   1   1   1   1 Alcohol dehydrogenase-like 3 | OS=Arabidopsis thaliana | EC=1.1.1.1
O00097               -          O19053               -            8.7e-28   87.6   7.9     4e-25   78.8   7.9   2.1   1   1   0   1   1   1   1 Alcohol dehydrogenase 1 | OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) | EC=1.1.1.1
F2Z678               -          O19053               -            5.6e-24   75.0   6.2   2.9e-21   66.1   6.2   2.0   1   1   0   1   1   1   1 Alcohol dehydrogenase 2 | OS=Yarrowia lipolytica (strain CLIB 122 / E 150) | EC=1.1.1.1
A0A7U2MMF3           -          O19053               -            1.3e-22   70.6   0.8   2.3e-20   63.2   0.8   2.1   1   1   0   1   1   1   1 Zinc-type alcohol dehydrogenase B | OS=Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167) | EC=1.1.1.1
E1ACQ9               -          O19053               -            3.6e-21   65.8   2.5   1.1e-18   57.6   2.5   2.5   1   1   0   1   1   1   1 Alcohol dehydrogenase notN | OS=Aspergillus sp. (strain MF297-2) | EC=1.1.1.1
O00097               -          O31186               -            2.1e-91  297.0   2.7   2.5e-91  296.7   2.7   1.0   1   0   0   1   1   1   1 Alcohol dehydrogenase 1 | OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) | EC=1.1.1.1
F2Z678               -          O31186               -              6e-87  282.3   1.0   6.7e-87  282.2   1.0   1.0   1   0   0   1   1   1   1 Alcohol dehydrogenase 2 | OS=Yarrowia lipolytica (strain CLIB 122 / E 150) | EC=1.1.1.1
E1ACQ9               -          O31186               -            6.5e-62  200.0   1.3   7.4e-62  199.8   1.3   1.0   1   0   0   1   1   1   1 Alcohol dehydrogenase notN | OS=Aspergillus sp. (strain MF297-2) | EC=1.1.1.1
A1A835               -          O31186               -            5.6e-29   91.7   6.5   4.1e-27   85.6   6.5   2.1   1   1   0   1   1   1   1 S-(hydroxymethyl)glutathione dehydrogenase | OS=Escherichia coli O1:K1 / APEC | EC=1.1.1.284;1.1.1.1;1.1.1.-
A7ZIA4               -          O31186               -              7e-29   91.4   6.4   5.1e-27   85.2   6.4   2.1   1   1   0   1   1   1   1 S-(hydroxymethyl)glutathione dehydrogenase | OS=Escherichia coli O139:H28 (strain E24377A / ETEC) | EC=1.1.1.284;1.1.1.1;1.1.1.-
B1LIP1               -          O31186               -            4.9e-28   88.6   6.0   3.6e-26   82.5   6.0   2.1   1   1   0   1   1   1   1 S-(hydroxymethyl)glutathione dehydrogenase | OS=Escherichia coli (strain SMS-3-5 / SECEC) | EC=1.1.1.284;1.1.1.1;1.1.1.-
A0A7U2MMF3           -          O31186               -            6.8e-24   75.0   0.2   1.1e-23   74.3   0.2   1.2   1   0   0   1   1   1   1 Zinc-type alcohol dehydrogenase B | OS=Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167) | EC=1.1.1.1
A2XAZ3               -          O31186               -            1.1e-20   64.5   5.9   1.8e-18   57.1   5.9   2.0   1   1   0   1   1   1   1 Alcohol dehydrogenase class-3 | OS=Oryza sativa subsp. indica | EC=1.1.1.1;1.1.1.-;1.1.1.284
A1L4Y2               -          O31186               -            8.5e-19   58.2   2.0   1.8e-15   47.2   1.2   2.0   2   0   0   2   2   2   2 Alcohol dehydrogenase-like 3 | OS=Arabidopsis thaliana | EC=1.1.1.1
O00097               -          O45687               -           4.3e-112  364.9   2.5  4.8e-112  364.7   2.5   1.0   1   0   0   1   1   1   1 Alcohol dehydrogenase 1 | OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) | EC=1.1.1.1
F2Z678               -          O45687               -           7.8e-104  337.7   1.4  8.7e-104  337.6   1.4   1.0   1   0   0   1   1   1   1 Alcohol dehydrogenase 2 | OS=Yarrowia lipolytica (strain CLIB 122 / E 150) | EC=1.1.1.1
E1ACQ9               -          O45687               -            1.9e-52  168.7   0.3   2.2e-52  168.5   0.3   1.0   1   0   0   1   1   1   1 Alcohol dehydrogenase notN | OS=Aspergillus sp. (strain MF297-2) | EC=1.1.1.1
A7ZIA4               -          O45687               -            9.8e-30   94.0   1.4   1.1e-22   70.8   0.1   2.0   2   0   0   2   2   2   2 S-(hydroxymethyl)glutathione dehydrogenase | OS=Escherichia coli O139:H28 (strain E24377A / ETEC) | EC=1.1.1.284;1.1.1.1;1.1.1.-
A1A835               -          O45687               -            2.6e-29   92.6   1.3   1.1e-22   70.8   0.1   2.1   2   0   0   2   2   2   2 S-(hydroxymethyl)glutathione dehydrogenase | OS=Escherichia coli O1:K1 / APEC | EC=1.1.1.284;1.1.1.1;1.1.1.-
B1LIP1               -          O45687               -            8.5e-29   90.9   1.3   1.1e-22   70.8   0.1   2.0   2   0   0   2   2   2   2 S-(hydroxymethyl)glutathione dehydrogenase | OS=Escherichia coli (strain SMS-3-5 / SECEC) | EC=1.1.1.284;1.1.1.1;1.1.1.-
A1L4Y2               -          O45687               -            4.1e-28   88.7   1.4   7.1e-19   58.3   0.6   2.0   2   0   0   2   2   2   2 Alcohol dehydrogenase-like 3 | OS=Arabidopsis thaliana | EC=1.1.1.1
A2XAZ3               -          O45687               -            2.3e-27   86.3   4.1   1.2e-18   57.5   0.5   2.0   2   0   0   2   2   2   2 Alcohol dehydrogenase class-3 | OS=Oryza sativa subsp. indica | EC=1.1.1.1;1.1.1.-;1.1.1.284
A0A7U2MMF3           -          O45687               -            2.9e-24   76.0   0.1   3.8e-24   75.7   0.1   1.1   1   0   0   1   1   1   1 Zinc-type alcohol dehydrogenase B | OS=Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167) | EC=1.1.1.1
#
# Program:         phmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      data/raw/queries_all.fasta
# Target file:     data/raw/reference_ec_1_1_1_1.fasta
# Option settings: phmmer -o results/hmmer/phmmer_full.txt --tblout results/hmmer/phmmer_tblout.txt --domtblout results/hmmer/phmmer_domtblout.txt data/raw/queries_all.fasta data/raw/reference_ec_1_1_1_1.fasta 
# Date:            Mon Jul 20 13:57:15 2026
# [ok]
